filename,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,label_y
[Cd(L2)(1-4-NDC)]n_no_solvent,-39118.02513,281.0278104,-9389.501792,151.4386984,1110.643994,-491.510028,914.434635,186.5622866,639.4067935,-264.5158948,258.2447786,367.5841753,-295.8364339,-690.148914,310.3118134,35.86733814,199.8430192,145.9698302,-272.2847676,-101.4360359,81.24192614,-16.59298869,-9.686171806,-34.86786308,-79.8900471,42.13935431,-49.1459661,-20.01702714,28.68167559,17.15949017,-22.71285069,-5.345821902,8.514162244,29.10387401,-14.43356876,10.7417245,3.519875957,20.18748341,6.332550995,17.28000592,-30.60879959,6.452716162,-7.552476474,1.115994545,-19.96860792,-4.539880654,-6.913296118,-4.912375088,-6.002051024,6.60669008,6.567996477,-4.636944269,2.491006862,-6.866861481,-4.650344919,-1.634537344,-0.271003906,3.071147154,0.011506683,2.489707785,0.057281786,3.438511351,3.449357622,4.128087199,0.729211241,1.642492923,0.041979969,-0.365869671,-0.320873151,2.514068551,-0.036345126,1.643937239,2.431847154,-1.483506279,0.497155672,-1.576588115,-3.777523545,-1.886565197,0.515685057,2.029472121,1
[Cd2(L1)(1-4-NDC)2]n_no_solvent,-28574.99221,-1189.970691,-6688.91164,-22.80481321,-278.6364794,-2296.579363,1713.949212,623.7889973,-37.77752932,-268.9723198,-23.93400873,-20.64681717,-289.7579605,-555.5960876,405.4896327,10.94151788,0.251645895,93.31980613,-159.8042137,-60.34443606,25.03091364,-5.003102798,13.62238157,-48.65876808,-61.59628872,-20.45045942,-11.39151464,-1.617068551,21.18111257,21.32434428,-29.35850966,0.39458626,-4.531619137,-0.427330597,-0.857734178,-2.270648319,2.147003142,6.479006085,0.273877986,-3.793399369,-28.11990467,-21.03481523,3.535183587,-4.030175723,4.043549077,-12.8691372,7.618602223,-1.223378352,7.351472484,5.119409811,9.319024841,-1.880620833,-4.532105643,-0.140540798,-4.97359063,-2.884881418,-1.26067372,-3.204958111,-3.432069485,-2.924046725,-2.985688941,-1.868064668,0.612523793,4.284303636,1.707979543,2.145176154,0.029517453,2.646873939,2.895300858,1.229123687,-1.580768695,0.750559542,1.811760839,-0.857287057,1.260140892,-1.394204033,-1.026636417,-1.213727813,0.314354241,0.720026547,1
[Cd3(L)(H2O)4(OH)2]_no_solvent,-7655.445262,-885.2988925,-4728.790111,-104.9007722,3011.612233,-647.7762623,2327.463317,452.2593304,-121.6211194,213.3831657,405.6332125,11.27968073,371.0031653,1254.940287,-375.2052692,76.43449838,-288.4561257,-134.4589101,-214.3430103,128.4621231,-43.88037762,20.50507321,10.83435922,37.50462859,-5.480691914,4.365433384,-14.49005907,-40.28057609,-43.64952489,-57.87167576,-22.22506156,84.87137122,-60.65912595,45.56211489,8.60804032,23.1285447,18.28957212,-10.73757016,30.1136865,6.96254531,1.948952792,2.908260898,16.11327492,12.28216254,-0.903230703,-5.821966692,-2.63133941,22.06954268,6.999808894,-4.420695754,3.05149827,0.216489065,1.259418902,-2.086758581,4.060058497,2.659051802,-2.976437734,-4.487167351,0.40107267,0.452481026,-2.15485305,-2.672379775,1.932582385,2.53444823,6.177880623,1.349735638,0.229018329,2.110203559,-5.343872906,-0.346874826,-2.909733358,-0.681225965,1.118549948,2.282719621,-1.457278233,0.841254984,-0.83078124,-0.310291852,0.320341933,-0.613715772,1
[Cd3Yb3L3(OH)3(OAc)6]_no_solvent,144410.7481,-20133.12083,38824.93167,-3306.032496,13975.95971,1164.025974,2654.804811,46.57200247,-1599.145148,-311.4906516,1696.815574,-522.6097267,504.7924447,207.2431298,1072.270569,-422.2836657,-322.6294907,530.4386218,38.10021242,19.35446001,-313.2648868,-24.38889727,65.61178333,-0.601667099,-5.573507142,-155.5620598,-91.63022519,-44.01787093,-15.50120797,75.60391001,-31.00499667,-35.44087983,-20.08082242,20.736266,-13.68639119,-25.93430558,4.975430518,3.579809015,9.845525987,8.804066955,-34.82387958,0.477079345,-9.055483639,7.74680649,-2.071588104,-5.982805914,7.90832328,8.077761118,-2.313727214,20.54265822,3.886217005,2.015540786,4.593238014,-10.86796824,-5.215320991,10.82347097,6.098574326,7.678414722,-2.931762407,-0.239349171,-1.232206364,3.43354593,1.085048015,4.500824146,-0.930182247,1.723616055,2.650240851,-0.710520931,-2.353299254,4.004081323,-1.948837646,3.289172383,-3.427574338,-3.383210138,2.754411629,0.738135048,1.576864043,-0.02002655,-1.139503084,1.050641701,1
[Dy(TCPB)(DMF)3]n_no_solvent,-23126.09651,5073.484683,-11926.45088,1426.249234,-1554.062342,-1469.088965,3448.76417,1141.447519,1656.946072,970.4680593,1573.862786,2474.678973,156.7924479,-1688.365621,-611.3614375,-191.5753032,114.5550551,395.7625948,984.873928,35.08803869,204.5060175,-74.59587662,16.53012817,-12.69036112,43.46501516,12.17377395,-16.62031504,99.53019471,-8.848874978,94.48155588,-82.49123621,-22.34132357,73.54305474,-6.100998054,98.27602473,21.42438098,-10.25694685,-1.651254545,39.53484803,-20.62548687,18.52450116,11.22992338,12.11721839,-22.41180358,27.43858418,23.90529079,-13.70896355,0.016650175,2.155392944,17.99240595,-6.007410687,5.442242966,5.058812141,2.053176394,-5.65864354,-19.03601069,0.453786681,-15.55144637,1.189834936,-5.747669975,3.695627755,-2.549006516,0.608795673,-1.915791655,-4.940545177,9.032710858,12.38157613,2.400367644,-2.991959282,-2.940247615,-0.475360554,-6.74128695,2.104506149,0.699703585,-2.83253116,1.805838436,1.472703955,-0.139923327,-1.002370002,-2.473388328,1
[Sm(TCPB)(DMF)3]n_no_solvent,-17865.81729,4525.636953,-8749.648039,1250.699582,-2641.363832,1348.910116,4299.560792,768.8274214,1928.482763,1099.560321,2521.327277,2001.806092,975.8497184,-853.7873671,-568.5039168,-144.2036493,216.753562,423.9813631,1069.646057,-32.30351376,7.265207426,177.5984704,-71.24491513,-57.37532885,22.31756994,-22.61550187,-54.00588964,-40.08564923,14.46803299,82.98176752,-77.2356439,-4.614385267,21.73750871,-20.18594799,18.82082619,7.485754247,-29.42791336,-26.59379365,12.56765476,-2.2315429,41.43864725,20.63684221,54.48670153,5.877699843,15.20833002,-5.468291185,-10.48473657,13.67378418,-3.823028624,56.53327142,13.89558736,-5.650211105,-18.38666274,12.29977557,-3.682536007,8.568846734,12.47035257,1.173876697,5.164462899,-4.805995638,3.45188627,-4.051438287,7.441336572,-1.230515227,3.682974739,-12.3714667,-1.212571184,-1.021122763,-5.281349855,-0.999297805,0.712424561,3.720692919,-1.369267139,-2.480514519,3.920542838,-0.329635584,-2.68748337,-2.747303105,4.538146937,0.422807492,1
[Zn(L)0.5(NDC)]n_no_solvent,-37127.52212,643.6643607,-7651.77397,153.7439426,-56.62545004,-404.1509489,-645.5345431,-20.10193535,-508.9893803,88.06362657,-309.0174313,-56.37467005,-234.0950705,-94.4588167,236.6558966,90.79937889,72.1930478,48.63991189,-74.37245323,-39.06855244,52.34370816,-29.93432873,-16.18408426,-16.8924249,4.145253422,2.230953056,-5.083932393,-18.698301,36.24229627,20.14426777,-27.92913948,-5.389070801,-10.97709687,-3.537402916,15.97396356,0.52320936,-1.946756604,16.84847598,-5.446136103,13.59981791,-10.40392177,28.49638349,-8.803682264,15.10783128,-15.58690746,-1.804090158,0.01588288,-4.248972371,0.105371743,6.071918692,-3.134995303,-1.592323482,-2.887252443,-4.04962368,-3.577406934,-5.498357988,-3.432678382,-2.00165472,-0.851953836,-1.645229399,1.433534728,1.497273975,3.229641809,-1.333225677,-0.5608822,3.698064174,-0.134011798,0.889020022,0.349322574,2.474925885,1.009914804,-0.092042881,1.048385099,-0.675179441,-1.132646925,0.262995805,-0.102635685,-0.636827358,-0.408115864,-0.906659923,1
[Zn(ZnOH)4(bibta)3]_no_solvent,-7693.183254,-3684.183938,4778.338956,-1118.920555,-2720.59284,-1527.415259,-111.3609319,341.9532933,-406.4910398,44.14457803,-223.9395742,-454.9854876,-284.1380387,-127.1759463,398.1513977,-263.3160622,-180.3966403,6.602576032,-72.77859751,-23.07993973,126.9960546,-61.66907736,35.65207751,38.18223216,-22.53513762,64.47253215,-11.90474709,-14.58872631,-68.93391611,-36.30878633,-8.952210635,19.86206109,-30.88589402,-0.243282692,-17.48096563,11.08242634,17.42484175,16.65937532,9.790056683,-16.00674377,13.61414683,-8.782265682,-1.661253492,-12.622632,-18.98598975,-13.63186108,2.431054377,-3.796752743,-4.604173204,5.890392608,1.077742211,8.684247366,-6.518962125,1.625224903,0.529737556,1.922236996,-2.96878412,-5.135045961,5.330886914,0.307851946,2.365796227,-2.071166672,2.314607687,-0.099773745,1.105318321,-0.563798147,1.438324004,1.307837153,-0.090442868,-0.436975661,1.728689684,-0.820870673,0.611300783,0.954963839,2.118122272,-0.564798702,-0.734794162,-1.491840267,-0.242307468,1.208372724,1
[ZnYbL(OAc)3]_no_solvent,-11594.84536,-2037.658267,-7746.141882,-102.5375878,871.2244998,-631.5626986,2846.25779,364.7959931,724.0664762,-214.5250665,899.6620798,534.5078826,437.1198701,343.5497825,-214.0533948,51.57774287,-246.0359656,79.41689939,124.9183653,-112.1800717,-210.6340412,213.9706107,-9.701195019,17.96875706,-10.31088108,-99.75381617,-1.780252538,-28.02148784,-5.942117169,24.99452014,-18.90535624,-5.749863639,15.44027117,-59.49019044,48.08933142,19.64010096,-46.51365063,-34.04251627,-9.723279703,-25.75625175,-6.125806041,-3.161436992,-11.69865248,16.54033649,7.936780614,-1.608608969,-1.605217369,4.274356963,4.760983839,2.181347985,-0.950048389,12.09716678,-8.937912244,8.198910191,7.227187326,-1.572433615,7.355310615,2.778692592,-1.729454703,-1.934152467,-7.924595981,7.598585826,-0.906579101,-5.361002059,-6.217877222,1.995796013,2.737905843,-1.029947047,0.610629799,3.561186904,-0.154571554,1.007136155,-7.932817366,-0.899857985,1.812323745,-4.320323428,1.691120316,-0.624048141,-2.25739738,1.735015647,1
1538770_no_solvent,-33773.06519,-1660.610147,-7128.502337,-596.4821478,50.68477965,-201.769436,-634.5461556,-188.8715778,-441.9451319,-296.837963,-14.33053691,-151.5687521,-28.60168505,-17.55173222,144.735637,-76.56676198,154.0615639,60.06779617,4.71551256,-45.04606878,-33.84575799,29.76170683,-8.170884931,-25.51184054,-39.03303882,-51.28816751,6.169546344,-34.48528354,-8.791072123,20.77918461,11.50187359,-16.63527162,3.123816205,1.075490493,13.07349163,6.183612133,1.554486039,-2.023594962,-11.65720644,-0.943220056,9.39737908,6.359947059,-2.246908529,1.90036963,-5.373802582,10.51076818,12.71326029,-0.363996636,0.299119832,-0.582060881,0.559654401,6.527722124,-0.294088657,-1.916381429,-1.41054977,-3.79545194,3.464299379,-0.046092488,-2.422850202,1.418680275,3.089965442,0.657623313,1.109538472,-1.219699419,1.030036797,-1.785553287,-2.071926935,-0.004127132,-0.466675769,1.145148705,0.544402222,-0.10854933,-2.012505516,0.528590345,1.947929266,0.87306151,0.987006597,1.118058683,3.089939136,-1.070864489,1
