filename,henry_cons,f-chi-0-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-2-all,f-Z-3-all,f-I-3-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-1-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-3,f-lig-I-0,f-lig-I-3,f-lig-T-0,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,lc-chi-3-all,lc-Z-0-all,lc-Z-3-all,lc-T-0-all,lc-T-1-all,lc-S-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-T-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-alpha-0-all,func-alpha-2-all,D_func-chi-3-all,D_func-T-1-all,D_func-alpha-3-all,feature_2,feature_4,feature_6,feature_7,feature_9,feature_10,feature_11,feature_13,feature_16,feature_17,feature_19,feature_42,feature_44,feature_45,feature_46,feature_47,feature_48,feature_51,feature_52,feature_54,feature_56,feature_58,feature_59,feature_60,feature_61,feature_62,feature_68,feature_86,feature_88,feature_89,feature_90,feature_92,feature_93,feature_96,feature_97,feature_98,feature_100,feature_101,feature_102,feature_103,feature_104,label_y
[Cd(L2)(1-4-NDC)]n_no_solvent,4.17E-05,95.8551,292.7,387.192,2810,4754,2112,46,164,188,124,18.915,27.716,25.857,50.5648,2304,1824,1728,3360,11,25,60,90,165,5.4612,6.8376,12.4172,-7.95,-5.16,-11.33,202,252,458,13,12,22,3.71,4.26,7.89,209.1104,453.543,746.9584,893.8515,815,1848,2853,33,142,186,670,751,13.4569,33.2178,50.4112,33.776,56.5,125,2.5,7.5,0.5477,113.565,196.8,252.025228,2.5,15.5,-2,-0.05,0.69,-8.85,-6.06422,41.425,271.962614,3.725,-1.5,-4.617775,0.011674985,-0.01326101,0.006482486,0.004572762,-0.005193963,0.016459703,0.003225638,-0.003663835,-0.003145319,0.009967538,-0.01318801,1.31E-05,1.76E-05,-2.10E-06,-3.78E-05,-6.00E-06,6.80E-05,8.79E-05,1.09E-05,1.23E-05,-4.61E-05,4.73E-06,-3.20E-05,0.000124274,6.03E-06,9.77E-05,3.28E-15,9.77E-06,1.51E-05,1.10E-05,9.56E-06,-9.92E-07,-1.47E-05,-1.95E-06,3.77E-05,-7.30E-06,-9.71E-06,1.33E-06,0.000111959,6.02E-05,0.000399864,2
[Cd2(L1)(1-4-NDC)2]n_no_solvent,0,170.8842,675.4348,918.8096,5506,10000,10656,112,308,428,512,35.34,28.392,25.857,57.967,2304,1872,1728,3648,12,25,55,90,150,5.4316,6.8376,12.8168,-8.35,-5.16,-14.02,201,252,500,14,12,30,3.73,4.26,9.1,187.0942333,417.5048333,691.6220667,833.6496667,762.3333333,1733.333333,2613.666667,28.66666667,135,185.6666667,745.3333333,793,12.08393333,30.69763333,46.51826667,21.67733333,59,108.3333333,2,6,0.542766667,95.67333333,143.7708713,174.5908713,4,5.666666667,-2,0.086666667,0.053333333,-5.635703333,-10.93570333,18.25333333,160.280152,1.411666667,-0.833333333,-1.65711,0.010621083,-0.009971177,0.007597429,0.004981044,-0.004676253,0.017065524,0.003265684,-0.003065856,-0.001703608,0.00621715,-0.01050391,3.37E-05,1.11E-05,7.77E-06,-5.68E-05,-4.05E-05,0.000135467,0.000183224,0.000127463,-1.11E-05,-7.61E-05,1.23E-05,1.66E-05,0.000259576,0.000165603,0.000138266,-7.70E-35,3.10E-06,-3.26E-06,7.34E-06,2.74E-05,5.40E-06,4.64E-06,-1.37E-05,-1.83E-05,4.14E-05,3.80E-05,-3.92E-05,6.04E-05,-6.14E-05,0.000166627,2
[Cd3(L)(H2O)4(OH)2]_no_solvent,0,248.6487,1341.271,1839.4368,7962,25800,22560,244,752,1292,1392,53.29,34.8816,34.55486667,58.0008,2304,2304,5600,3840,10.66666667,36,104,148,160,6.4824,9.9752,11.68213333,-10.5,-4.673333333,-16.29333333,240,331.3333333,432,18.66666667,31.33333333,37.33333333,4.5,7.073333333,7.893333333,286.1238,564.672,901.5908,1133.639,1314,2616,4448,40,174,216,788,926,18.676,43.1508,64.97,17.544,64,96,1,3,0.5329,59.89,87.98,119.78,2,4,-2,-0.04,-0.08,-6,-12,0,0,0,0,0,0.012784047,-0.008123399,0.005503845,0.005369771,-0.003412127,0.011457848,0.005238964,-0.003329008,-0.001601283,0.005377074,-0.007103332,7.87E-06,-2.70E-05,-1.47E-05,-8.98E-05,4.86E-06,0.000123705,0.000333378,-3.78E-05,4.78E-05,3.66E-05,0.000159979,2.64E-05,0.001271771,8.20E-05,0.000307427,-5.12E-09,-2.03E-05,-1.92E-05,-3.35E-05,0.000111942,2.02E-05,0.000106323,-1.84E-06,0.000165454,0.000142979,-5.76E-05,9.43E-05,0.000478342,6.36E-05,0.000581189,1
[Cd3Yb3L3(OH)3(OAc)6]_no_solvent,0.011,635.7651,4803.1848,7231.56,24933,128358,137136,960,2766,5706,8328,170.031,35.6848,35.806,123.3945,3602,3904,14522,11578,30,68,194,432,650,9.4758,18.3454,33.2611,-16.55,-10.34,-49.355,431,493,1609,45,48,166,7.08,7.89,27.21,176.044,367.897,584.8514667,687.7401333,694,1496,2297.333333,27.33333333,106.6666667,147.3333333,482.6666667,536,11.16166667,26.7806,38.97386667,21.39726667,62.75,61.41666667,1.25,3.916666667,0.535366667,58.85416667,93.60963858,105.0790493,4.166666667,12.83333333,-1.583333333,0.083333333,0.576666667,-5.535703333,-2.628516667,0,0,0,0,0,0.010944988,-0.009067121,0.006530208,0.004356461,-0.003609009,0.013665582,0.002906301,-0.002407658,-0.002359344,0.008933701,-0.007552471,8.78E-08,-1.23E-06,-1.35E-07,3.95E-07,9.00E-07,2.48E-06,-2.10E-06,-4.79E-06,1.88E-06,-1.26E-05,-6.05E-07,-1.38E-06,1.77E-06,4.04E-06,9.23E-06,8.08E-07,-2.60E-06,2.35E-06,-8.69E-06,5.31E-05,1.74E-05,-2.45E-05,5.99E-06,-1.25E-05,3.77E-05,-5.82E-06,3.76E-05,1.37E-05,-4.76E-05,0.000219922,1
[Dy(TCPB)(DMF)3]n_no_solvent,0.00353,334.8931,2082.3888,1599.4158,5640,13530,9648,228,1236,1482,1320,65.6952,47.1042,18.666,37.8444,4356,5940,2376,3960,12,144,360,216,360,14.8296,7.7154,13.3266,-23.97,-7.98,-16.38,702,360,732,114,54,114,11.16,5.4,12.06,462.1812,1004.0496,1611.2946,1983.081,1995,4470,7176,69,306,390,1464,1614,30.7917,75.1698,114.9108,18.27925,61.66666667,98,1.666666667,4,0.5379,75.52166667,83.27576225,142.2925286,6.333333333,4,-1.5,0.248333333,-0.038333333,-1.9803325,-10.10892583,54.76,292.3053003,0.91,-1.625,-2.453555,0.012576139,-0.012988081,0.006260268,0.004723604,-0.00487833,0.016277662,0.003564134,-0.003680881,-0.003295461,0.010996059,-0.012684409,1.66E-05,8.74E-06,1.87E-05,-0.000101664,-1.16E-05,0.000104579,0.000261544,2.40E-05,-1.44E-06,-2.24E-05,-0.000149813,7.90E-06,0.000689198,2.17E-05,7.04E-05,-2.75E-35,-2.35E-07,-1.37E-06,3.53E-05,4.90E-05,2.86E-05,1.02E-05,1.17E-05,2.52E-05,-4.13E-05,-4.25E-05,-3.99E-05,0.000176828,-0.000186582,0.000487351,2
[Sm(TCPB)(DMF)3]n_no_solvent,5.192,475.4286,3117.3858,3505.7398,5365,16806,14503,551,2384,3244,3613,90.4748,45.1737,26.8515,51.7374,3844,5580,3348,4092,18,144,396,324,612,15.2736,11.9196,17.544,-24.57,-12.42,-23.16,654,504,1050,111,81,165,11.76,8.55,20.76,462.1812,1004.0496,1611.2946,1983.081,1995,4470,7176,69,306,390,1464,1614,30.7917,75.1698,114.9108,33.56575,61.66666667,119,3.916666667,10.75,0.5379,120.4391667,119.1072868,194.5681842,16.83333333,17.375,-1.5,0.788333333,0.631666667,-0.7909975,-9.372257083,41.07,286.8482258,2.5025,8.625,1.6340025,0.013990491,-0.015244069,0.00583498,0.004131531,-0.004501725,0.023100958,0.002925383,-0.003187503,-0.006863205,0.03521908,-0.017822541,8.88E-06,1.22E-05,-3.03E-05,-8.44E-05,-4.86E-05,6.31E-05,0.000247038,0.000120521,-4.40E-05,-7.70E-05,0.000267823,0.000169019,0.001141488,0.000361897,0.000312296,-4.59E-07,1.97E-05,-2.32E-05,6.94E-05,0.000133072,-0.000127165,8.97E-05,5.09E-05,-2.74E-05,0.000145873,-0.00016801,0.000174855,0.000168934,-0.000195884,0.000797978,2
[Zn(L)0.5(NDC)]n_no_solvent,0,146.9498,424.9888,559.488,2570,5440,4728,68,208,252,252,26.7708,22.044,21.0375,47.289,900,930,900,2010,10,16,36,60,108,3.8514,5.0435,9.9036,-6.76,-4.5,-12.16,89,120,233,7,5,13,2.3,2.7,5.54,231.6178,498.491,820.1157333,1016.931667,930,2080,3238.666667,36,163.3333333,203.3333333,752,846.6666667,15.0436,36.93433333,56.26093333,24.2496,61,114.6,1.6,4.8,0.53882,81.36,131.508,182.7315684,2.2,7.6,-2,-0.044,0.148,-7.14,-10.984266,33.424,139.3730456,2.138,-1.9,-10.493555,0.00861626,-0.011724467,0.006540024,0.003635561,-0.004947044,0.015424962,0.002020987,-0.002750033,-0.002708916,0.008446444,-0.011667841,3.30E-06,7.95E-06,-9.67E-06,-1.17E-05,-1.20E-06,1.18E-05,2.37E-05,4.79E-06,1.26E-05,-5.70E-06,-1.61E-05,-1.71E-05,8.39E-05,2.35E-05,1.95E-05,-2.73E-35,5.24E-06,-1.39E-05,-9.40E-06,6.57E-05,2.38E-05,4.10E-05,-4.40E-06,-2.76E-05,-4.61E-05,1.71E-05,-4.27E-06,6.77E-05,6.03E-05,0.000298766,2
[Zn(ZnOH)4(bibta)3]_no_solvent,0.00521,324.6857,1603.812,2447.2344,6074,21234,31440,320,992,1970,2640,79.656,22.5984,37.0788,46.6884,900,948,1464,3240,11.2,20,56.8,104,168,4.30204,7.52464,12.3664,-6.436,-9.272,-9.816,100.4,191.2,228,7.6,14.4,14.4,2.48,4.736,5.232,162.5196,372.3338,565.7344,620.502,732,1736,2268,24,96,138,520,512,11.3112,27.9542,41.9204,19.96266667,49,88.66666667,4,9.333333333,0.5625,128.76,203.7466667,189.475076,2,6,-0.666666667,-0.04,0.213333333,-7.8,-5.871406667,0,0,0,0,0,0.005481512,0.001075736,0.00256638,0.001974684,0.000387528,0.00306911,0.001519407,0.000298181,8.53E-05,0.000675248,0.000463441,5.62E-07,-3.67E-07,-7.70E-07,-9.49E-08,-1.30E-06,4.76E-06,1.03E-05,-1.08E-05,6.99E-06,2.26E-05,-1.19E-05,1.67E-05,3.58E-05,-4.60E-05,6.90E-05,-5.17E-06,-5.54E-06,3.93E-06,-2.27E-06,2.49E-05,1.66E-05,-1.23E-05,2.16E-05,-3.54E-05,-2.82E-05,-2.48E-05,-1.46E-05,4.72E-05,4.53E-05,6.22E-05,1
[ZnYbL(OAc)3]_no_solvent,0.017,267.3292,1756.4132,2137.39,7084,22598,18728,280,1092,1728,1776,63.5142,33.363,29.16375,73.40575,2900,3510,4620,4100,20,73,200,278,333,9.31045,11.64795,18.3216,-16.055,-9.675,-25.1,399,372,906,51,41,115,6.725,6.075,17.68,238.4699,510.969,816.5496,986.2022,939.5,2094,3398,37.5,154,206,703,798,15.41135,37.5991,55.5383,23.28926667,58.08333333,63.41666667,2.833333333,7.166666667,0.545366667,105.09,126.4064768,111.05097,6.833333333,14.58333333,-1.25,0.28,0.666666667,-2.639258333,-2.430294167,0,0,0,0,0,0.011055665,-0.010738459,0.006250643,0.004265727,-0.004143336,0.013610967,0.002911129,-0.002827604,-0.002760501,0.009068317,-0.009022243,4.32E-06,6.42E-06,-1.58E-05,-3.35E-06,-6.16E-06,1.54E-05,7.66E-06,8.83E-06,-2.06E-06,-2.79E-05,1.77E-05,1.72E-05,3.00E-05,-3.15E-05,7.23E-05,-5.26E-35,-7.31E-06,-9.57E-08,-1.34E-05,0.000112237,9.74E-06,1.40E-05,2.78E-06,1.51E-05,4.57E-05,-1.04E-05,1.91E-05,6.02E-05,-1.10E-05,0.000125601,1
1538770_no_solvent,0.00986,191.443,647.1164,987.072,2812,7892,7056,120,328,432,424,35.3208,27.06,29.4525,61.0005,900,1140,1260,2100,14,25,60,105,150,4.8339,7.0609,11.8686,-8.15,-6.3,-13.87,112,168,350,13,14,40,2.86,3.78,9.28,158.6338,321.7026,476.0718,551.7116,674.5,1368,1940,23,83,117,370,386.5,9.9755,22.9017,32.0344,19.336,56.5,76,2.5,7.5,0.5477,113.565,160.962614,135.052614,8,8.5,-2,0.34,0.33,-4.00711,-5.05711,46.98125,163.6317047,2.012083333,1.083333333,-10.81159208,0.006324389,-0.003756414,0.005589411,0.002829495,-0.001680598,0.009592704,0.001432358,-0.000850759,-0.000825392,0.004711268,-0.002884289,6.50E-05,-0.000136324,-9.26E-05,-0.000100391,-8.96E-05,0.00055752,0.000292173,0.000260744,0.0002068,0.000149732,-0.000229358,2.73E-05,0.000807553,0.000305227,0.000172358,-9.74E-35,1.96E-05,-2.13E-05,-5.99E-05,0.000326854,0.000289672,-0.000161451,8.74E-06,-0.000307991,-6.42E-05,-4.19E-05,0.000422712,0.000520471,2.01E-05,0.000658399,2
