filename,henry_cons,f-chi-0-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-2-all,f-Z-3-all,f-I-3-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-1-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-3,f-lig-I-0,f-lig-I-3,f-lig-T-0,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,lc-chi-3-all,lc-Z-0-all,lc-Z-3-all,lc-T-0-all,lc-T-1-all,lc-S-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-T-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-alpha-0-all,func-alpha-2-all,D_func-chi-3-all,D_func-T-1-all,D_func-alpha-3-all,feature_2,feature_4,feature_6,feature_7,feature_9,feature_10,feature_11,feature_13,feature_16,feature_17,feature_19,feature_42,feature_44,feature_45,feature_46,feature_47,feature_48,feature_51,feature_52,feature_54,feature_56,feature_58,feature_59,feature_60,feature_61,feature_62,feature_68,feature_86,feature_88,feature_89,feature_90,feature_92,feature_93,feature_96,feature_97,feature_98,feature_100,feature_101,feature_102,feature_103,feature_104
HURGAE_clean_no_solvent.cif,0.031,124.9505,412.2072,630.0238,2146,7050,5406,80,230,345.3333333,317.3333333,23.85533333,23.7864,29.9772,59.5188,900,1002,2142,2520,12.4,19.6,51.6,96,159.2,4.25488,7.96742,12.25636,-7.156,-5.958,-15.612,98.6,150.6,288,7.8,9.8,18,2.516,3.612,6.888,130.6580667,272.7361,445.6250667,490.8578333,505.6666667,1049,1295.333333,19.5,76.66666667,112.6666667,372.3333333,358.6666667,7.64195,18.36806667,26.60266667,22.935,58.375,81,2.125,5.875,0.544,92.93125,145.0825,145.796421,2,11.75,-1.75,-0.04,0.515,-6.675,-4.135665,17.55625,142.9199391,4.445,-0.0625,-5.369108125,0.014566096,-0.000372278,0.006199195,0.005284155,-0.000135052,0.011771068,0.00450418,-0.000115117,-9.42E-05,0.008207643,-0.000256437,3.90E-07,2.65E-06,-9.81E-07,7.63E-07,-5.07E-06,2.02E-06,2.46E-06,8.85E-06,-9.75E-06,-4.85E-05,-1.26E-05,-2.05E-05,7.04E-06,-9.43E-06,0.000154706,-3.79E-35,1.63E-07,-1.15E-06,2.45E-07,8.99E-06,-9.47E-06,1.88E-05,-1.12E-05,3.13E-05,-8.07E-05,-3.50E-05,1.64E-05,6.09E-05,-5.05E-05,0.000160672
HURGEH_clean_no_solvent.cif,0.00622,246.6297,1199.3144,1386.1136,3471,13408,14448,168,550,872,968,48.1362,36.64746667,28.68253333,71.39613333,729,1224,1782,2394,12.33333333,32.33333333,72.33333333,130,168,5.2122,6.9678,11.5962,-8.84,-3.35,-14.79,107.6666667,105,244.3333333,19.66666667,13.66666667,41.33333333,3.003333333,2.45,6.336666667,144.0441,255.969,399.6456,462.213,711,1260,1944,18,66,90,294,306,8.9442,19.1268,27.591,17.544,64,96,1,3,0.5329,59.89,87.98,119.78,2,4,-2,-0.04,-0.08,-6,-12,28.09,87.98,1.78,-2,-12,0.002702206,-0.000112552,0.000996029,0.00101953,-4.25E-05,0.001505416,0.001043586,-4.35E-05,-1.09E-05,0.000386616,-6.42E-05,9.36E-07,-2.32E-06,1.25E-07,-2.00E-06,-3.17E-06,2.99E-06,3.68E-06,5.41E-06,-1.76E-06,9.92E-06,-1.03E-06,-1.63E-06,6.63E-06,4.73E-06,1.66E-05,1.09E-35,-2.41E-06,6.23E-06,-2.19E-05,1.99E-05,1.09E-05,-1.62E-05,2.24E-06,-4.78E-06,2.26E-05,-9.74E-06,2.81E-05,1.60E-05,-5.31E-05,0.000205359
HUTTIA_clean_no_solvent.cif,0.022,170.617,672.9868,916.608,2698,7408,8352,112,308,428,512,32.8444,27.72,25.245,55.209,900,1170,1080,2100,12,25,55,90,140,4.8077,6.0522,10.8468,-8.55,-5.4,-13.66,111,144,290,14,12,32,2.88,3.24,7.44,248.8916667,461.7950667,803.8314667,962.715,1120.666667,2096.666667,3804,32,138,172.6666667,616,715.3333333,14.46506667,33.177,51.04933333,18.73866667,59,82.66666667,2,6,0.542766667,95.67333333,136.635076,129.9617427,6,7,-2,0.213333333,0.193333333,-4.671406667,-7.371406667,27.5784,113.6890047,3.63,-2.333333333,-18.05570333,0.007136836,-0.002972531,0.002835341,0.002715279,-0.001130928,0.005208283,0.002600301,-0.00108304,-0.000540198,0.002487783,-0.002077421,3.62E-05,-6.08E-05,-6.12E-05,-3.21E-05,-5.73E-05,8.89E-05,5.29E-05,9.25E-05,7.41E-05,0.000124379,-1.80E-05,1.99E-05,9.53E-05,0.000121961,0.000166574,-4.06E-07,-4.35E-06,-8.83E-07,-1.50E-05,4.78E-05,4.08E-05,-7.34E-06,2.58E-05,-3.60E-05,1.99E-06,-4.27E-05,3.34E-05,9.96E-05,-8.18E-06,4.57E-05
HUTZEB_clean_no_solvent.cif,0.00381,231.2202,1036.7562,1411.6384,3158,9846,12288,196,576,952,1152,53.582,19.35,18.6972,38.04105,510.5,700,833.5,1354,10,20.5,55,89.5,117,4.74135,8.19,10.8168,-9.855,-6.41,-19.105,51.5,85,113,8.5,12.5,20.5,3.21,4.49,7.1,118.7144,219.096,337.3204,385.387,548,1008,1420,16,58,80,256,250,7.4224,16.2624,23.0448,12.53142857,64,68.57142857,0.714285714,2.142857143,0.5329,42.77857143,62.84285714,85.55714286,1.428571429,2.857142857,-1.428571429,-0.028571429,-0.057142857,-4.285714286,-8.571428571,0,0,0,0,0,0.008226218,-0.002113707,0.003237879,0.003216007,-0.000826345,0.00500418,0.003194282,-0.000820763,-0.00035265,0.002135579,-0.001277127,8.90E-06,-1.34E-05,-1.95E-05,-2.03E-05,-7.40E-06,4.69E-05,4.51E-05,9.48E-06,4.54E-05,3.46E-06,4.59E-05,1.45E-05,8.29E-05,-4.51E-06,2.81E-05,3.02E-35,-3.09E-06,1.27E-05,-1.18E-05,1.77E-05,-7.89E-07,9.23E-06,-4.44E-06,4.60E-06,4.74E-05,-9.49E-05,-3.71E-05,0.000163558,7.06E-05,0.00017149
HUVHIR_clean_no_solvent.cif,0.0019,331.4608,1299.7716,1332.5184,8302,23784,30528,192,560,828,1216,74.4308,20.812,13.6455,53.2675,900,880,1470,2260,10.33333333,13.66666667,27.33333333,52.66666667,103.3333333,3.506433333,4.838266667,10.0739,-6.563333333,-2.22,-15.23333333,80.66666667,61,234.6666667,6.333333333,-0.333333333,11.66666667,2.126666667,1.11,5.846666667,388.2919,695.7268,1310.9808,1534.072,2374,4912,5752,49,208,268,844,968,23.6338,53.831,79.24,25.5936,64,72,1,3.818181818,0.5329,119.2981818,110.9627273,86.995366,2,15,-2.818181818,-0.04,0.7,-6,-0.51422,178.1476923,290.3659898,1.145384615,0.692307692,2.348923846,0.005820362,-0.001992236,0.00215939,0.002025445,-0.000693284,0.004611905,0.001899808,-0.00065028,-0.000438871,0.002919482,-0.001480677,8.14E-06,-9.78E-06,-2.26E-05,6.21E-07,-4.86E-06,1.73E-05,-1.10E-05,4.23E-06,7.76E-06,5.49E-07,5.62E-05,1.76E-05,7.41E-05,-1.01E-05,1.74E-05,-6.36E-36,2.32E-06,-1.36E-06,1.28E-05,3.43E-05,-3.71E-05,1.72E-05,-1.75E-05,3.51E-05,2.30E-05,-4.67E-05,-5.06E-05,9.47E-05,5.06E-05,0.000362966
HUVHOX_clean_no_solvent.cif,0.00665,274.069,877.44,1163.9808,5824,15396,14784,152,440,580,672,56.9288,22.044,19.8495,61.7265,900,930,1440,2610,12,16,36,68,112,3.8514,5.8033,11.7114,-6.76,-3.78,-17.61,89,102,273,7,3,20,2.3,2.12,6.78,283.2123,502.2792,939.8258,1055.736,1731,3528,4092,35,142,190,586,656,17.3529,38.9614,56.9476,25.0092,60.25,85.5,1.75,5.75,0.5403,123.0325,130.905,127.9615245,1.25,12,-2.5,-0.025,0.51,-3.975,-3.310665,155.473,254.9391912,1.227,0,2.664312,0.004535165,0.000610466,0.001437393,0.001485441,0.000199951,0.003067551,0.001535096,0.000206635,9.62E-05,0.001476582,0.000426718,3.02E-06,-1.69E-06,-8.97E-06,3.16E-06,-1.59E-05,6.48E-06,-5.60E-06,2.31E-05,-5.77E-06,1.42E-05,7.26E-06,2.38E-05,1.75E-05,-3.28E-05,0.000121765,1.15E-34,-2.15E-05,8.30E-07,-1.70E-05,6.25E-05,-5.63E-05,-1.48E-06,-7.05E-05,3.01E-07,5.63E-05,4.11E-06,-5.27E-05,5.11E-06,-4.33E-06,4.56E-05
HUVNAP_clean_no_solvent.cif,0.034,189.9858333,914.3684667,1091.703467,5042.666667,21800,14890.66667,142,672,1037.333333,933.3333333,50.42853333,27.64662857,24.23208571,52.02422857,1730.285714,2100.571429,6169.142857,3634.285714,13.28571429,41.71428571,121.1428571,212,233.1428571,7.541314286,13.13045714,15.32005714,-12.88571429,-6.262857143,-20.47285714,217.1428571,182.8571429,452.5714286,24,18.28571429,49.71428571,5.68,4.365714286,11.63285714,342.3448,703.8,1179.4624,1505.0182,1366,2880,4930,52,236,292,1028,1128,21.29,51.2204,78.0824,30.33747692,60.04395604,149.5384615,1.714285714,5.142857143,0.540706593,83.59516484,141.3527773,230.8154447,4.21978022,7.912087912,-1.846153846,0.047472527,0.105494505,-7.861215824,-13.66528879,25.92923077,81.21230769,1.643076923,-1.846153846,-11.07692308,0.011924134,-0.006820936,0.004722098,0.004200031,-0.002402535,0.012169459,0.003735683,-0.002136915,-0.001547372,0.007837841,-0.006191643,3.72E-06,-2.78E-07,2.15E-05,7.94E-07,-1.59E-05,2.46E-05,8.30E-06,5.16E-05,-2.27E-05,1.07E-05,-0.000120957,-0.000246996,4.59E-05,5.31E-05,0.000137945,2.04E-06,-3.14E-06,-2.94E-06,-9.17E-06,1.96E-05,1.34E-05,1.59E-05,3.65E-06,2.46E-05,4.75E-05,7.54E-06,2.92E-05,1.76E-05,3.97E-05,0.000101795
HUWDEJ_clean_no_solvent.cif,4.992,92.7113,241.6632,372.096,2693,5388,2016,48,144,180,144,16.92,23.4688,39.372,73.34,2209,1316,2256,2632,16,16,48,96,128,3.84,7.8848,11.6736,-4.44,-4.96,-7.12,160,328,696,4,8,32,2.12,4.08,11.36,154.5932,339.711,541.35,645.177,542,1272,1512,26,110,142,484,514,9.8826,24.5014,35.3848,21.128,49,56,4,12,0.5625,167.24,233.945228,150.325228,14,13,-2,0.72,0.74,-2.01422,1.88578,0,0,0,0,0,0.021264107,-0.00839572,0.007747639,0.00770382,-0.003041704,0.012160221,0.007660249,-0.003024501,-0.001524536,0.006094837,-0.004774073,2.95E-05,-4.63E-05,-5.31E-05,-6.39E-05,-1.50E-05,8.85E-05,0.000109197,2.32E-05,9.79E-05,2.19E-05,7.42E-05,3.84E-06,0.000244324,9.20E-05,6.27E-05,-1.17E-34,3.88E-06,2.60E-05,-1.02E-05,4.26E-05,1.62E-05,-0.000142843,6.73E-06,-0.000163068,8.23E-05,-0.000126201,5.92E-05,0.000805874,-0.000321411,0.000230331
HUWHOY_clean_no_solvent.cif,0.011,91.9446,281.924,323.136,2789,4169,1764,38,146,159,98,17.67,28.392,21.5475,41.4388,2304,1872,1440,2352,9,25,55,75,100,5.4316,5.698,8.9244,-8.35,-4.3,-9.31,201,210,383,14,10,25,3.73,3.55,7.29,228.265,469.455,789.4813333,983.1242667,960,2016,3126.666667,33.33333333,153.3333333,187.3333333,702.6666667,721.3333333,14.25453333,34.06993333,52.50773333,20.07494286,61.85714286,94.42857143,1.428571429,4.285714286,0.537128571,75.22571429,104.7093183,120.4132001,3.571428571,6.357142857,-2,0.071428571,0.105,-4.87346,-8.921158214,37.615,213.6524273,2.864642857,-1.714285714,-7.949188929,0.011882973,8.33E-05,0.004209104,0.0043784,3.07E-05,0.00781549,0.004554506,3.19E-05,7.68E-06,0.001955684,5.70E-05,1.83E-05,-1.48E-05,-3.02E-05,3.59E-05,-6.05E-05,6.00E-05,-6.77E-05,0.000130636,4.28E-05,-7.51E-06,-3.45E-05,-0.000158482,0.000110781,-0.000208812,0.00073572,-1.61E-07,-3.00E-06,7.98E-06,-3.10E-05,4.63E-05,3.64E-05,-2.25E-05,7.46E-06,-7.90E-06,4.77E-06,-1.98E-05,3.89E-05,1.77E-05,-3.86E-05,0.000209576
HUWLUI_clean_no_solvent.cif,0.00301,267.3348,2601.4636,3117.7936,18034,51464,29512,346,1736,2520,1688,84.2238,48.568,54.041,39.312,8100,15660,9630,7290,12,144,456,456,444,17.255,18.8825,16.6775,-21.76,-23.37,-14.64,906,1153,999,106,130,107,11.14,13.71,11.47,282.2638,561.5832,916.3266,1186.437,1441,3012,5304,41,186,224,834,978,18.9476,44.9294,68.8014,11.46366667,60.88888889,57.33333333,1.388888889,2.888888889,0.539566667,54.82111111,67.68388889,99.58340956,1,3.111111111,-0.388888889,-0.02,0.048888889,-3,-4.490468889,312.5,847.5,-1.11,3,102.57867,0.008776266,-0.001527392,0.003030141,0.00328445,-0.000571615,0.004205577,0.003560103,-0.000619588,-0.000291497,0.002144647,-0.000793352,2.61E-05,-3.10E-05,-3.23E-05,-4.92E-05,-2.88E-05,8.18E-05,8.84E-05,5.07E-05,2.07E-05,3.48E-05,3.30E-05,3.73E-05,0.000139979,4.19E-05,4.48E-05,-8.31E-35,2.02E-05,-9.37E-06,-3.96E-05,9.11E-05,6.19E-05,3.56E-06,-2.18E-05,-5.30E-05,-7.25E-05,2.89E-06,7.00E-05,4.71E-05,1.51E-05,0.00014264
