MOF,water stability description,source,label
Bio-MOF-14,No loss of PXRD and only minor changes to SEM crystallite image after soaking in water for 2 months. CO2 uptake nearly unaffected after soaking in water for 30 days.,10.1021/cr5002589,3
MIL-101(Cr),No change in PXRD after immersion in water at 323 K for one day. Normal water adsorption/desorption behavior in vapor isotherm.,10.1021/cr5002589,3
MIL-96(Al),No change in particle size or surface properties observed from SEM and AFM after immersion in pH 6 water for 100 days.,10.1021/cr5002589,3
Ni3(BTP)2,No change in PXRD or BET surface area after two week exposure to boiling aqeous solutions of pH 2-14.,10.1021/cr5002589,3
PCN-222(Fe),"No change in the PXRD or BET surface area after soaking in water, boiling water, and 2 M, 4 M, and 8 M HCl for one day.",10.1021/cr5002589,3
PCN-224(M),No change in PXRD or BET surface area after soaking in pH 0-11 solutions for one day.,10.1021/cr5002589,3
ZIF-8,Minor change to PXRD after one day in water at 323 K. No change in PXRD or BET surface area after water adsorption at 298 K.,10.1021/cr5002589,3
Al-PMOF,No change in PXRD or dissolution of ligand ev idenced from UV/Vis analysis after one week in neutral or pH 5 solution. Loss of crystallinity and ligand dissolution observed after 1 week in pH 8 solution.,10.1021/cr5002589,3
JUC-110,No change in PXRD after ten days in boiling water. Further stability implied from water isotherm behavior and GC water/alcohol seperation performance.,10.1021/cr5002589,3
MONT1,PXRD and SEM unchanged after 15 days in boiling water.,10.1021/cr5002589,3
LaBTB,"No change in PXRD after exposure to 60⊥ and 100⊥ aqueous HCl of pH 2, aqueous NaOH of pH 14, and water solutions for three days.",10.1021/cr5002589,3
Zn(1-3-BDP),No change in PXRD after three days in boiling water.,10.1021/cr5002589,3
Cu3(BTP)2,No change in PXRD after one day in boiling water or one day in pH 14 solution.,10.1021/cr5002589,3
Zn3(BTP)2,No change in PXRD after one week in 100⊥ aqueous pH 3 HCl solution; loss of PXRD after one hour in room temperature pH 14 NaOH solution or one day in boiling water.,10.1021/cr5002589,3
PCMOF-5,Fresh sample boiled in water for 7 days with minor loss of PXRD and mass. Sample activation indicates a reversible loss of sample crystallinity,10.1021/cr5002589,3
ref28,No change in PXRD after two months in boiling water.,10.1021/cr5002589,3
CALF-25,No change in PXRD or BET surface area after adsorption to 95% RH at 313 K. No change in PXRD or decrease in CO2 uptake after expsoure to 90% RH for one day at 353 K. Loss of PXRD peaks after 7 days in boiling water.,10.1021/cr5002589,3
992002,"The chemical stability is examined by suspending crystals of Cu2L in boiling solvent (THF, toluene, hexane, or DMSO), water, and even in acidic (0.001?M HCl) or basic (0.001?M NaOH) aqueous solutions for 24?h. The unaltered powder X-ray diffraction (PXRD) patterns indicate the robustness of this MOF materia.",10.1021/cr5002589,3
1581461,"However, the particle surfaces of these materials readily turn green due to oxidation by oxygen and water. Remarkably, without the protection of an inert atmosphere, 1∩ remained stable in boiling water for at least one week, even at pH?3?14 at room temperature for at least 3?days . Moreover, 1∩ maintained a white colour not only after these stability tests but also after further exposure to humid air (~70?RH%) for at least 6?months",10.1021/cr5002589,3
1908429,"1a?was immersed in water at RT for 72 h, boiling water for 48 h, and different acid and basic aqueous media for 72 h. The PXRD data showed that all the observed diffraction peaks matched well with those of untreated?1a, demonstrating the high water-stability of?1a?under these conditions",10.1039/D0DT03049J,3
